Steps	cost_limit	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/success	train/complete	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/alpha_loss	loss/alpha_value	loss/actor_rew	loss/actor_total	loss/q0	loss/q1	loss/q_total	update/gradient_steps	test/reward	test/cost	test/length	test/success	test/complete	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
10283	8.0	0.0	5.142857142857143	4.286758406506732	0.49999999999999994	734.4285714285714	0.0	0.021513802738319203	0.996369934516465	0.0037208171206225783	0.02603287426646117	-1.0407667464665789	0.7453621016228253	-6.655797019992242	-6.602879291827926	0.5575866362022004	0.16104986140701957	0.7186364985074746	1026.4285714285716	0.07803759911009497	0.0	1000.0	0.0	0.01515100358577499	115.95269680023193	11.253115892410278	888.6427630896925	45.80881118774414	58.890769720077515	98.21433773505966	499.0	10283.0
21143	1.0	21.0	7.833333333333333	7.619196800668878	0.16666666666666669	904.8333333333334	0.0	0.02444539426677316	0.9935767865965964	0.006583793738489871	0.0767398839662089	-3.175020490562063	0.3959062105082448	-11.585998280491824	-11.434175131729326	0.4894364370386038	0.20649348026759815	0.6959299189493099	3390.5	28.313320753088608	1.0	136.0	0.0	0.10361748591748347	227.73304915428162	15.50558614730835	733.1551282228306	91.64745354652405	120.58000946044922	99.62424137023818	498.0	21143.0
32434	1.0	33.0	10.166666666666666	9.67250698986222	0.16666666666666669	940.8333333333334	0.0	0.028190962788302125	0.9965002484391542	0.003587245349867134	0.04510408985709807	-5.406055018371782	0.2040055425981171	-12.767263592820544	-12.67829898102713	0.46399644936529344	0.2023514509937282	0.6663478992176552	5544.333333333333	10.290786081548893	1.0	167.0	0.0	0.06550316865036673	342.32342505455017	20.5298113822937	635.3200113299222	136.73740983009338	185.0562038421631	100.79131039882506	497.0	32434.0
43406	1.0	45.0	12.5	11.600515239259181	0.16666666666666669	914.1666666666666	0.0	0.03176551554780261	0.9962997944330255	0.0037927107061503564	0.04577625453607897	-7.631153928717605	0.10454419165985476	-12.081146136829144	-11.990702094249674	0.38841269910844667	0.15788759472684463	0.5463002943237584	7738.166666666667	59.5805821109647	1.3	163.0	0.0	0.17711078266594021	454.27887773513794	24.294116258621216	604.0145623651842	182.12933206558228	247.85542941093445	100.94776347642865	496.0	43406.0
55052	1.0	58.0	16.0	14.121954722402828	0.35714285714285715	831.5714285714286	0.0	0.038288087512592876	0.9869099856428243	0.013482181193645356	0.13839929880707924	-9.783134634477358	0.05325596354271572	-10.691702930750191	-10.41710976542908	0.2938348539197599	0.10338092278828097	0.3972157771807496	9958.42857142857	11.064857301769159	1.0	56.0	0.0	0.06630963206922331	573.4165573120117	27.193613052368164	560.2418468873983	231.11753749847412	315.10540676116943	100.78668532428287	495.0	55052.0
66221	1.0	75.0	26.0	18.662151600528734	0.8	558.2	0.0	0.050931117867697946	0.9923260687408239	0.007960143304970874	0.07031547329215479	-11.46090484914681	0.027034398185008312	-9.164820264499376	-9.02466068874279	0.33289975593007476	0.09420802775432369	0.4271077839312538	12376.7	3.55735649629001	1.0	31.0	0.0	0.038983036427521336	690.9326648712158	28.948561906814575	537.0905832921516	281.680358171463	380.30374479293823	100.03412423872223	494.0	66221.0
76234	1.0	128.0	77.046511627907	10.874110321827974	0.9883720930232558	116.18604651162794	0.0	0.03876385855970294	0.9963150512326755	0.003869196205691462	0.028978598576096748	-11.6273541676659	0.014656000825959112	-7.885713448003111	-7.827528544562599	0.5997779113954251	0.12299191328037587	0.7227698247017239	14524.18604651163	9.877243499650877	1.0	37.0	0.0	0.045093926324506726	810.8448688983917	30.896759033203125	515.2643998320864	337.99666929244995	441.95144057273865	97.74239982859474	493.0	76234.0
86274	1.0	261.0	210.6	11.777887701733746	1.0499999999999998	55.55555555555555	0.0	0.04114868924181617	0.9926677177683404	0.01223766816143498	0.05873007478223074	-10.222675414244577	0.008494386800732327	-6.91810191538896	-6.834411124596268	1.358560488732392	0.15850718855599366	1.517067677691749	16359.188888888892	5.265654915236014	1.0	30.0	0.0	0.040812384192140574	933.3491575717926	32.55111646652222	498.4160840285115	394.3195593357086	506.47848176956177	95.77507505915825	492.0	86274.0
96280	1.0	459.0	417.0	14.771552298386593	1.0	46.04629629629629	0.0	0.04688975381079444	0.9977550511349463	0.0022500000000000003	0.008995363993511628	-5.335655398064276	0.005366515453544061	-6.587289655440708	-6.563526354012227	2.1525768332492086	0.08993108171218275	2.2425079164925226	18228.240740740745	14.472599046306488	1.1	41.0	0.0	0.07898725832526118	1057.1916840076447	35.66125202178955	466.69701865293126	449.43540358543396	572.0950284004211	94.25074083483904	491.0	96280.0
106410	1.0	654.0	612.0	28.079657832657325	1.0	57.988505747126425	0.0	0.07166311616332785	0.9977550511349463	0.0022500000000000003	0.006071326702783529	-0.21072073845304962	0.004344546188750207	-7.3297662504333525	-7.307253605521559	2.970580852190579	0.02937990978501766	2.999960762594787	20179.126436781615	60.49652808769944	1.0	74.0	0.0	0.21279536929406176	1179.5266644954681	39.160152435302734	443.8951055851685	503.3786344528198	636.9878776073456	93.31210525268901	490.0	106410.0
