Steps	cost_limit	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/success	train/complete	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf1	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	test/success	test/complete	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
19967	20.0	0.0	1.0	0.5551538904806923	0.05	998.0	0.0	0.015062695234496864	1.0	0.0	0.0	-0.012034516664397267	-0.012034516664397267	0.011668765214959756	0.011501789787729791	0.002162820569655988	0.013664610411022331	-0.008618364041609169	1.8401943654209	308.0	0.03582687760684194	0.0	1000.0	0.0	0.014089804715550158	32.40972185134888	11.680395603179932	856.1353861403074	15.21112322807312	5.518203020095825	963.2247455106611	199.0	19967.0
36657	10.0	40.0	8.0	0.11241043928568925	0.35	834.0	0.0	0.01857666085881938	1.0	0.0	0.0	-0.0007934521015088715	-0.0007934521015088715	0.010107078428308547	0.08122853601458838	0.01168903141067579	0.0929175672855658	0.022435939750777407	1.8462828980042392	568.0	0.033838340157572824	0.0	1000.0	0.0	0.0137142014156157	64.0780885219574	23.13973069190979	864.314294158682	30.141392707824707	10.7969651222229	895.4194047591911	198.0	36657.0
52209	10.0	60.0	15.0	1.631092246183028	0.35	777.0	0.0	0.02191513374970975	1.0	0.0	0.0	-0.0018389359206442651	-0.0018389359206442651	0.012449305308715946	0.08996745627567486	0.009573170334503322	0.09954062702599914	0.023046220877828708	1.8517446950078	808.0	0.03708201456849051	0.0	1000.0	0.0	0.014956931769365531	95.73445558547974	34.65856575965881	865.5868857365933	45.42441701889038	15.651472806930542	854.8217659847784	197.0	52209.0
67437	10.0	80.0	22.0	2.227679611848987	0.35	761.0	0.0	0.023359103153045565	1.0	0.0	0.0	-0.002086420803699818	-0.002086420803699818	0.011506137622607144	0.08898359335469616	0.008454590554766446	0.09743818408272906	0.022273125099333917	1.8552156813063863	1044.0	0.030314297990984652	0.0	1000.0	0.0	0.014841056633046416	128.4826340675354	46.7205913066864	856.1535477457755	61.11574029922485	20.646302461624146	824.7959288058736	196.0	67437.0
84202	10.0	100.0	29.0	2.2180659386767623	0.35	838.0	0.0	0.02520659104821189	1.0	0.0	0.0	-0.0023581954681923477	-0.0023581954681923477	0.012703875583023405	0.08530621370658853	0.006348865819409887	0.09165507951894634	0.020555574300949668	1.8585876437333908	1304.0	0.7777433947377228	0.0	1000.0	0.0	0.016636514877481128	159.68429493904114	58.250333070755005	858.3641906264543	75.70617604255676	25.72778582572937	830.1164466920641	195.0	84202.0
100257	10.0	120.0	35.0	3.5344297446417188	0.3	802.0	0.0	0.028521325820580395	1.0	0.0	0.0	-0.0035492258777242458	-0.0035492258777242458	0.010932887652738683	0.07859245256423178	0.005715968705419894	0.08430842085433525	0.017527879307782584	1.8603417647461742	1552.0	0.12689507291577998	0.6	454.0	0.0	0.026154380760545583	190.2316792011261	68.82807636260986	792.4237154712757	90.55560636520386	30.847996473312378	825.8156896163603	194.0	100257.0
112746	10.0	140.0	51.0	1.1935827131817138	0.8	624.0	0.0	0.02848659447474027	1.0	0.0	0.0	0.0022941043171158526	0.0022941043171158526	0.01034843566352114	0.2481796467715564	0.014631915607120996	0.2628115632299645	0.0679969951258196	1.8575370082010818	1744.0	0.5173952194140109	0.6	436.0	0.0	0.023629878297558953	219.60170030593872	79.32130217552185	742.5747987553444	105.42364287376404	34.85675525665283	803.7188481257482	193.0	112746.0
122817	10.0	160.0	71.0	0.2620460032384244	1.0	503.0	0.0	0.027726682982500372	1.0	0.0	0.0	0.0007762014843487677	0.0007762014843487677	0.008339039308618967	0.35188572185161787	0.019386026244132944	0.3712717490509535	0.0935941391194669	1.8563247223695118	1900.0	-0.14334577863153575	0.5	531.0	0.0	0.023943241870650608	247.0055272579193	90.54807353019714	709.1923383503506	118.08167243003845	38.375781297683716	784.9865703025849	192.0	122817.0
134257	10.0	180.0	90.0	0.6037790753402007	0.95	572.0	0.0	0.028170822550071896	1.0	0.0	0.0	0.0015223676537888498	0.0015223676537888498	0.008878223852000459	0.2837915405292401	0.015291398213858805	0.29908293930136326	0.0762931025714021	1.8570799854668696	2076.0	-0.6272277741719485	1.0	42.0	0.0	0.02664655359791964	268.10497212409973	93.49122047424316	691.3911239163687	132.46054244041443	42.15320920944214	768.8798776239471	191.0	134257.0
148013	10.0	210.0	120.0	-0.39839680595685534	1.0	343.0	0.0	0.026229480742659888	1.0	0.0	0.0	0.0005754126523243032	0.0005754126523243032	0.006350629080530643	0.44728941997548327	0.02023702333373772	0.46752644302147733	0.11745702359333354	1.8575115209480495	2238.0	-0.09377829590599056	0.6	432.0	0.0	0.022724036391355524	302.5161192417145	104.27099275588989	661.4015861674475	152.0273163318634	46.21781015396118	746.6160839549495	190.0	148013.0
160744	10.0	240.0	144.0	1.7208865939442042	0.7	636.0	0.0	0.028662827300022613	1.0	0.0	0.0	-0.00044143308139387143	-0.00044143308139387143	0.005392302736421401	0.16141251039368146	0.006536826832286481	0.16794933751225477	0.0415459014190247	1.8573008982502681	2484.0	-2.2961628349703367	1.0	61.0	0.0	0.021235624612237013	323.0941948890686	106.79916167259216	651.5032413204447	165.9671242237091	50.327908992767334	743.1700932268805	189.0	160744.0
171418	10.0	260.0	163.0	0.10745788725183725	0.95	533.0	0.0	0.025978847666880973	1.0	0.0	0.0	0.0009514521693856253	0.0009514521693856253	0.009042097897469013	0.25162741748570666	0.010134895948306997	0.26176231304501607	0.06639203053853679	1.8566010536217115	2648.0	-1.6306653988273176	1.0	31.0	0.0	0.028434290205640346	341.93351769447327	108.20243620872498	645.9466389941055	179.69623470306396	54.034846782684326	733.3983949004753	188.0	171418.0
