Steps	cost_limit	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/success	train/complete	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/alpha_loss	loss/alpha_value	loss/actor_rew	loss/actor_total	loss/q0	loss/q1	loss/q_total	update/gradient_steps	test/reward	test/cost	test/length	test/success	test/complete	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
10788	7.0	0.0	1.6666666666666665	5.851098793441806	0.33333333333333337	899.0	0.0	0.022746533132061326	1.0	0.0	0.0	-1.0883450499109792	0.7359947366942066	-6.155899084052314	-6.155899084052314	0.1529423812640771	0.08349362690350437	0.23643600802602782	1316.6666666666667	1.6273354470900365	0.2	926.0	0.0	0.02333019825677099	119.69639992713928	12.596832752227783	735.3435726422433	45.09138584136963	62.00818133354187	100.72869839316337	199.0	10788.0
20788	10.0	18.0	4.0	8.409219622927441	0.0	1000.0	0.0	0.024267992717784435	1.0	0.0	0.0	-3.1869303927421573	0.3934522782713173	-11.175764505386352	-11.175764505386352	0.2592072512034786	0.12303689522645436	0.3822441458976825	3358.0	23.409505808137908	1.0	182.0	0.0	0.09206830796967655	222.93796753883362	17.41802954673767	636.4669419266409	84.74512386322021	120.77481412887573	101.1483372518314	198.0	20788.0
32219	10.0	29.0	5.666666666666667	9.421785869460523	0.25	952.3333333333334	0.0	0.02848924180284309	1.0	0.0	0.0	-5.350643607482767	0.20776564859515095	-12.436744433487634	-12.436744433487634	0.26414731106249284	0.12516532263002458	0.3893126338546431	5530.333333333333	39.67997742820255	1.0	265.0	0.0	0.13214339403426636	343.2491977214813	24.142869472503662	569.1121353925431	132.0596001148224	187.04672813415527	100.96634616052376	197.0	32219.0
44044	10.0	41.0	7.333333333333334	11.898220732445465	0.08333333333333334	985.3333333333333	0.0	0.0314837743737726	1.0	0.0	0.0	-7.679091599526921	0.10357317495736716	-11.822077353156892	-11.822077353156892	0.20589796514388187	0.08982114077380321	0.2957191068009645	7833.333333333333	19.061072139810523	1.0	97.0	0.0	0.06713465726056307	463.31206369400024	27.733376264572144	530.5160056835578	179.08385252952576	256.49483489990234	101.11605840939119	196.0	44044.0
54044	10.0	52.0	8.0	17.111610434272357	0.0	1000.0	0.0	0.04032300666407124	1.0	0.0	0.0	-9.780281209468844	0.05357034759037198	-10.543652086257932	-10.543652086257932	0.1607151768747716	0.060805330733826886	0.2215205079049338	10010.0	6.659802608210342	1.0	49.0	0.0	0.05148617572391998	564.4990711212158	30.441993713378906	499.5073628609659	218.40108704566956	315.65599036216736	101.19517610798157	195.0	54044.0
64435	10.0	66.0	15.555555555555555	17.53295855758484	0.8333333333333334	577.0	0.0	0.049117213666168856	1.0	0.0	0.0	-11.335379667988883	0.029283510425143332	-9.232360611292355	-9.232360611292355	0.18707409509613632	0.05773899612046442	0.2448130911983651	12165.111111111111	5.534782972931705	1.0	35.0	0.0	0.04157224856371665	673.4666111469269	32.10324454307556	484.5616142981198	265.28907656669617	376.07429003715515	100.46566947095272	194.0	64435.0
74494	10.0	107.0	56.0	11.718534589571188	1.0	156.90625	0.0	0.040318668375588264	1.0	0.0	0.0	-11.790399505459899	0.016173455712053475	-8.017628762075656	-8.017628762075656	0.44906810740327524	0.1021063449119622	0.5511744531697392	14223.718750000004	0.6744202937788346	1.0	23.0	0.0	0.03180283367799076	789.3591475486755	33.80780529975891	466.9631719664624	317.6944818496704	437.8568603992462	98.5955498117002	193.0	74494.0
84495	10.0	221.0	170.0	8.39344581170708	1.0	60.76829268292682	0.0	0.03441804668445351	1.0	0.0	0.0	-11.397174548005514	0.009238461199067004	-6.995607906368273	-6.995607906368273	1.1926233204936085	0.156312119183813	1.3489354375634308	15947.439024390245	-1.3299743292662516	1.0	19.0	0.0	0.024134870123198027	910.7092955112457	35.21460580825806	453.7321839409332	373.44192385673523	502.05276584625244	96.51115077427255	192.0	84495.0
94512	10.0	397.0	348.9255319148938	17.299574321490688	1.0265957446808514	53.03191489361704	0.0	0.05152445632166735	1.0	0.0	0.0	-7.291557047247889	0.005586618465138593	-6.3076732513904545	-6.3076732513904545	1.823539383677765	0.10464717127149921	1.9281865550857065	17739.489361702137	72.1134483129657	2.1	110.0	0.0	0.24264357998716174	1036.3216865062714	39.07122206687927	437.15039091338633	430.22374629974365	567.0267181396484	94.7725805804766	191.0	94512.0
104631	10.0	541.0	527.36	46.20048241963645	2.2999999999999994	100.92000000000002	0.0	0.10898265889029926	0.9600820705241874	0.0773961006910168	0.2148936258046085	-3.3738517652119566	0.003832046495546443	-6.540421294083354	-6.165527483729709	2.37773581129395	0.04796427808911611	2.4257000910167856	19839.62	113.67825342797019	4.5	139.0	0.0	0.3474634097387277	1158.8169376850128	45.45807480812073	406.50643649120997	484.049197435379	629.3096654415131	93.97778514075512	190.0	104631.0
114729	10.0	630.0	970.4358974358976	78.10903161664774	7.974358974358976	129.23076923076923	0.0	0.19093714494265787	0.8654267549873953	0.21477450495049522	0.3647530842117167	1.5867165538362489	0.003614160551638844	-8.567391819529014	-7.183672489506183	3.52349999606019	0.05008394562888255	3.5735839400698612	21915.102564102574	109.0908321502275	9.6	143.0	0.2	0.3963553712050242	1281.5177359580994	50.83347511291504	391.67103873529106	539.2342751026154	691.449985742569	93.22374848704797	189.0	114729.0
125098	10.0	700.0	1353.2903225806451	160.88479511405805	1.7419354838709677	167.0	0.0	0.3259824865950682	0.9783974852373194	0.03632416787264839	0.024640604645171954	2.6791611135264684	0.0064127560528835425	-12.011696566146068	-11.753591317573822	5.604625592327216	0.14378656438487616	5.748412157594432	23944.741935483868	114.62833097010562	1.7	116.0	0.0	0.34216016533079374	1407.8341941833496	55.37958884239197	380.57342859625464	597.6107680797577	754.8438372612	92.49700470979019	188.0	125098.0
135269	10.0	758.0	1432.0	193.8392816565938	1.0	188.14814814814815	0.0	0.38564718617362936	1.0	0.0	0.0	2.322116365362447	0.01165698284297012	-17.702551813149068	-17.702551813149068	10.522482066834005	0.18543247354447984	10.707914537645378	26070.44444444444	101.30399983021057	1.1	109.0	0.0	0.2717642051440343	1530.384479045868	59.55552411079407	372.20728607411195	655.2084927558899	815.620462179184	91.96786583928184	187.0	135269.0
145325	10.0	814.0	1488.0	182.31210998688667	1.0	173.10344827586204	0.0	0.36375593619670354	1.0	0.0	0.0	1.7266706366888924	0.02053684456255377	-25.27311929541439	-25.27311929541439	16.579159728330186	0.2256962540360233	16.804855981276418	28113.96551724138	98.55873093937876	1.3	106.0	0.0	0.36365353203997425	1649.3211107254028	61.97091889381409	374.9016541098781	710.8855929374695	876.4645988941193	91.55194660121877	186.0	145325.0
155415	10.0	875.0	1549.0	166.29295448217707	1.0	157.31249999999994	0.0	0.3328895181154844	1.0	0.0	0.0	0.9518257729782929	0.033562082449656534	-33.772325348618025	-33.772325348618025	23.481212084600266	0.30540477014008377	23.786616822044508	30117.093749999996	125.10615539087826	1.0	115.0	0.0	0.3335455400857265	1769.1691694259644	65.03901076316833	375.0210791000015	766.8397152423859	937.2904434204102	91.19901975207792	185.0	155415.0
165596	10.0	941.0	1615.0	158.21524125699955	1.0	149.47058823529406	0.0	0.3180849094525273	1.0	0.0	0.0	0.308622087224023	0.04782895441509796	-42.4281010089609	-42.4281010089609	30.178669896748143	0.3865225250568596	30.565192422408188	32145.941176470584	81.37364412479269	1.0	91.0	0.0	0.21637521757156897	1889.665869474411	68.0285165309906	371.91756178416813	822.1642456054688	999.4731073379517	90.90503097799805	184.0	165596.0
175737	10.0	1010.0	1684.0	156.132803983104	1.0	144.68571428571434	0.0	0.31535381639100746	1.0	0.0	0.0	-0.007636264320738191	0.054093349739688955	-50.32960915588982	-50.32960915588982	34.983708020853896	0.4178605221358723	35.40156852600025	34160.171428571426	104.50381175739861	1.5	111.0	0.0	0.3301120403424994	2010.789137840271	72.22639489173889	365.76655998957574	877.8753545284271	1060.687388420105	90.6532433057627	183.0	175737.0
185803	10.0	1079.0	1753.3823529411764	167.31601335567072	1.0441176470588238	147.8235294117647	0.0	0.3384283528770686	1.0	0.0	0.0	-0.09862869846225518	0.04829016940913184	-56.69829370768439	-56.69829370768439	36.272304635249135	0.38293906753471485	36.6552437372893	36192.26470588233	115.13961883926649	2.8	111.0	0.0	0.42762810648080896	2131.8190944194794	76.73830080032349	358.7778164601208	932.6755075454712	1122.4052860736847	90.41153057188889	182.0	185803.0
195866	10.0	1142.0	1986.4482758620688	185.1940150327233	9.034482758620689	173.27586206896552	0.0	0.4062517863035096	0.8349659114984108	0.4167293840039748	-1.7879658999690988	-0.020838051977008932	0.039734845683977955	-60.012686223931645	-50.77733360400443	29.25132511317048	0.28394680322919214	29.53527195253482	38151.89655172412	155.04103072054855	7.9	147.0	0.3	0.4970679288397489	2260.808387517929	82.59631419181824	351.23843338367453	994.9525318145752	1183.2595415115356	89.92053730604583	181.0	195866.0
206215	10.0	1199.0	2457.250000000001	217.18333594063822	5.642857142857143	184.5357142857143	0.0	0.454492587600378	0.8789488913683572	0.23521217979700368	-0.9007922016433503	-0.0058033555825301565	0.041449644328704974	-61.11408368788697	-54.15760168884044	23.205248525259055	0.23644766896070063	23.441696203866968	40234.535714285725	105.92865195700139	2.1	113.0	0.0	0.3847790352102297	2393.336584329605	86.68276357650757	347.8084772111588	1061.1107478141785	1245.543072938919	89.40006434631489	180.0	206215.0
216477	10.0	1250.0	2840.9565217391305	245.8081090847833	10.32608695652174	222.82608695652175	0.0	0.5182376051141647	0.7664744142475869	0.7994905109489049	-2.55337798270576	-0.09990664490310522	0.038680367035804845	-62.090507312412726	-48.33197302342622	18.48758244294024	0.1865075672847513	18.674090014176933	42299.17391304349	117.9686845387314	3.5	116.0	0.0	0.36119872277895226	2526.6788980960846	90.66968488693237	345.3524740826902	1128.1322185993195	1307.8769946098328	88.8654274483705	179.0	216477.0
226909	10.0	1292.0	3339.105263157895	307.2406150945644	8.605263157894736	274.3157894736842	0.0	0.6308646946073173	0.827107549481108	0.37394097222222256	-1.0985689606781617	0.042918532307998365	0.03729687394017635	-62.7904455944952	-52.47771494050592	18.319233461358056	0.19366447642174398	18.51289792353162	44454.36842105264	167.9733558495735	9.1	167.0	0.1	0.49742679561868064	2663.728744983673	96.47823190689087	341.93205397707743	1197.3866503238678	1369.8638627529144	88.38599850080682	178.0	226909.0
237528	10.0	1329.0	3530.0555555555557	347.1685566399374	4.527777777777778	294.61111111111114	0.08333333333333333	0.6851792095275843	0.8785897762324439	0.322881535562882	-0.9094138618381415	-0.008106470213315961	0.03599739015748124	-64.70450091440603	-57.24838688886785	23.310847834714263	0.20956729165420046	23.52041511832128	46530.66666666668	148.44514750451805	2.7	132.0	0.0	0.4791287971063639	2804.286847114563	100.99792003631592	339.74957095811163	1270.8903687000275	1432.3985583782196	87.8663015339332	177.0	237528.0
248007	10.0	1365.0	3635.722222222222	370.19482463151934	1.638888888888889	290.88888888888886	0.27777777777777785	0.7051442850844827	0.985817396548704	0.017373689227836057	-0.04931660949672493	0.03551053868125484	0.03668462249447723	-68.35272087882664	-67.45120473267129	29.656350036253826	0.2633909761507928	29.919741030530336	48686.38888888888	200.46489333024093	3.4	164.0	0.2	0.5900210125544387	2948.567670106888	105.64610648155212	340.32489409610446	1348.9788403511047	1493.942723274231	87.23666638334467	176.0	248007.0
258020	10.0	1402.0	3665.473684210526	336.97829275583507	0.6315789473684211	263.2105263157894	0.3684210526315789	0.6370245743540677	1.0	0.0	0.0	-0.03797108111875188	0.036792098129997175	-73.38995308028969	-73.38995308028969	39.48329295797972	0.3300080019720414	39.813300983634555	50690.42105263159	141.57868427521657	1.5	123.0	0.0	0.46300068037563846	3084.408002614975	109.45476913452148	339.72937217837534	1420.9433596134186	1554.009873867035	86.73077515848462	175.0	258020.0
268177	10.0	1438.0	3692.529411764706	395.44011847927777	1.264705882352941	298.41176470588243	0.29411764705882354	0.752916233709616	0.967268555764131	0.05400688298918389	-0.22612460794233186	-0.0012761735363754517	0.03549358906771994	-77.92039043760322	-75.45828815899038	49.71200750382831	0.3479984689177899	50.060005940050004	52667.529411764706	157.79140150422668	1.7	143.0	0.0	0.41466692257783944	3225.296530008316	116.28347992897034	332.1194035781379	1493.909542798996	1615.1035072803497	86.25792033685924	174.0	268177.0
